共 178 家门店

企迈ID       门店编码         门店名称                                经营状态    
335916     335916       象子茶铺茶(大理天街店）                        正式营业    
335795     335795       象子茶铺茶(瑞鼎城店)                         正式营业    
333382     333382       象子茶铺茶(陇川店)                          正式营业    
333369     333369       象子茶铺茶(勐海店)                          正式营业    
327973     327973       象子茶铺茶(鹤庆店)                          正式营业    
327628     327628       象子茶铺茶(中铁云时代店)                       正式营业    
325267     325267       培训部(报货专用店)                          待开业     
324934     324934       象子茶铺茶(福保店)                          暂停营业    
324475     324475       象子茶铺茶(姚安店)                          正式营业    
322077     322077       象子茶铺茶(宾川店)                          正式营业    
321888     321888       大理机场店(未使用企迈)                        待开业     
321849     321849       象子茶铺茶(长水机场店)(未使用企迈)                 待开业     
319941     319941       象子茶铺茶(南华店)                          正式营业    
318646     318646       象子茶铺茶(盘州店)                          正式营业    
316841     316841       象子茶铺茶(宜良店)                          正式营业    
315987     315987       象子茶铺茶(保山三馆店)                        正式营业    
315554     315554       象子茶铺茶(怒江东岸人民路店)                     正式营业    
315384     315384       象子茶铺茶(保山五洲店)                        正式营业    
314573     314573       象子茶铺茶(镇沅店)                          正式营业    
314221     314221       象子茶铺茶(晋城州街店)                        正式营业    
314146     314146       象子茶铺茶(巍山店)                          正式营业    
313332     313332       象子茶铺茶(滇池名门店)                        正式营业    
313155     313155       象子茶铺茶(兰坪店)                          正式营业    
312996     312996       象子茶铺茶(广南店暂停营业)                      正式营业    
312897     312897       象子茶铺茶(澜沧店)                          正式营业    
312329     312329       象子茶铺茶(世纪金源店)                        正式营业    
310765     310765       象子茶铺茶(楚雄大姚店)                        正式营业    
309498     309498       象子茶铺茶(晋宁嘉誉广场店)                      正式营业    
308369     308369       象子茶铺茶(丽江七星街店)                       正式营业    
308266     308266       象子茶铺茶(江川店)                          正式营业    
307748     307748       象子茶铺茶(南涧店)                          正式营业    
304261     304261       象子茶铺茶(华坪店)                          正式营业    
300482     300482       象子茶铺茶(楚雄牟定店)                        正式营业    
300410     300410       象子茶铺茶(梁河店)                          正式营业    
294264     294264       象子茶铺茶(永胜店)                          正式营业    
294038     294038       象子茶铺茶(弥勒印象街店)                       正式营业    
294036     294036       象子茶铺茶(景谷店)                          正式营业    
292720     292720       象子茶铺茶(大理正阳店)                        正式营业    
291093     291093       象子茶铺茶(禄劝店)                          正式营业    
290209     290209       象子茶铺茶(保山板桥镇店)                       正式营业    
288738     288738       象子茶铺茶(龙陵盛和雅苑店)                      正式营业    
287413     287413       象子茶铺茶(施甸肆方街店)                       正式营业    
287033     287033       象子茶铺茶(呈贡七彩云南第壹城店)                   正式营业    
286755     286755       象子茶铺茶(新亚洲店)                         正式营业    
286225     286225       象子茶铺茶(凤仪店)                          正式营业    
286223     286223       象子茶铺茶(弥渡店)                          正式营业    
285307     285307       象子茶铺茶(王府井滇池小镇店)                     正式营业    
278892     278892       象子茶铺茶(祥云印象花园店)                      正式营业    
277760     277760       象子茶铺茶(瑞丽翡翠园店)                       正式营业    
274888     274888       象子茶铺茶(弥勒金辰店)                        正式营业    
274866     274866       象子茶铺茶(天骄北麓店)                        正式营业    
274865     274865       象子茶铺茶(昌宁店)                          正式营业    
274697     274697       象子茶铺茶(仕林街店)                         正式营业    
274677     274677       象子茶铺茶(高山铺店)                         正式营业    
269912     269912       象子茶铺茶(易门店)                          正式营业    
269581     269581       象子茶铺茶(怒江西岸店)                        正式营业    
269197     269197       象子茶铺茶(峨山店)                          正式营业    
269129     269129       象子茶铺茶(沧源店)                          正式营业    
269079     269079       象子茶铺茶(盈江店)                          正式营业    
266329     266329       象子茶铺茶(新平店)                          正式营业    
259934     259934       象子茶铺茶(大理泰业店)                        正式营业    
258414     258414       象子茶铺茶(楚雄丹麓旗舰店)                      正式营业    
257598     257598       象子茶铺茶(保山吾悦店)                        正式营业    
257386     257386       象子茶铺茶(内蒙店)                          正式营业    
253721     253721       象子茶铺茶(翰林大观店)                        正式营业    
253603     253603       象子茶铺茶(永平县店)                         正式营业    
249513     249513       象子茶铺茶(澄江店)                          正式营业    
246964     246964       象子茶铺茶（测试门店）不制作奶茶，不要点单               正式营业    
246934     246934       象子茶铺茶(南亚风情店)                        正式营业    
237259     237259       象子茶铺茶(芒市三棵树店)                       正式营业    
237116     237116       象子茶铺茶(富民彩玉国际店)                      正式营业    
226030     226030       象子茶铺茶(福德店)                          正式营业    
222127     222127       象子茶铺茶(海乐达人汇店)                       正式营业    
216167     216167       象子茶铺茶(砚山七都广场店)                      正式营业    
212464     212464       象子茶铺茶(施甸交通路店)                       正式营业    
197123     197123       象子茶铺茶(银海尚御店)                        正式营业    
196065     196065       象子茶铺茶(翠湖店)                          正式营业    
